WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,1206252,333216,428256,5376
64,1209377,336352,429984,9152
64,1212502,341696,431104,6304
64,1215627,337920,431456,6528
64,1218752,343072,430912,6720
64,1221877,348224,437536,5376
64,1225002,343232,437280,5504
64,1228127,341184,437248,6368
64,1231252,341696,435872,5504
64,1234377,343296,438496,6784
64,1237502,346816,438816,6176
64,1240627,353312,439616,5600
64,1243752,348832,441216,9920
64,1246877,345152,443712,5824
64,1250002,348864,442112,7040
64,1253127,351488,443808,6144
64,1256252,350016,444320,6208
64,1259377,357216,450304,5728
64,1262502,350080,448000,6368
64,1265627,354656,448096,6176
64,1268752,350432,450752,6432
64,1271877,355360,453760,5440
64,1275002,355520,450624,5728
64,1278127,358560,452192,5504
64,1281252,351488,454272,6272
64,1284377,366016,456000,5472
64,1287502,358720,455872,6784
64,1290627,361664,456384,5856
64,1293752,355392,457888,15040
64,1296877,362336,458432,5856
64,1300002,363232,459520,6688
64,1303127,361440,459712,7392
64,1306252,361376,462272,5952
64,1309377,364256,467616,6752
64,1312502,366912,464544,6368
64,1315627,364864,464064,8576
64,1318752,364512,465728,6656
64,1321877,367968,470336,7488
64,1325002,365792,469088,6944
64,1328127,368224,469664,9888
64,1331252,367360,469952,7424
64,1334377,368544,473056,6752
64,1337502,370368,473280,6784
64,1340627,370112,475072,6752
64,1343752,371712,474880,7264
64,1346877,371200,477472,6976
64,1350002,372736,477568,5568
64,1353127,381536,479552,14944
64,1356252,373472,478016,6656
64,1359377,372640,479552,6592
64,1362502,374688,479584,5760
64,1365627,374720,482368,6016
64,1368752,388288,482656,6304
64,1371877,378528,484448,6176
64,1375002,377888,484800,6528
64,1378127,383296,487008,6944
64,1381252,388064,487104,5152
64,1384377,382144,487904,5600
64,1387502,383680,490016,6400
64,1390627,382656,491328,6208
64,1393752,384608,490816,5984
64,1396877,386208,493152,6048
64,1400002,384096,499584,5664
64,1403127,387456,494944,7264
64,1406252,385312,497440,6688
64,1409377,391456,496544,5888
64,1412502,388416,497504,5920
64,1415627,392864,500064,6464
